id,name,slug
6753,Abyss,abyss
50,Acoustic Energy,acoustic-energy
54,Aftershokz,aftershokz
55,AKG,akg
59,ALO Audio,alo-audio
61,Analysis Plus,analysis-plus
66,Apple,apple
69,Astell&Kern,astellkern
47,Audeze,audeze
78,Audio GD,audio-gd
5833,Audio Pro,audio-pro
74,Audio Technica,audio-technica
81,Audioengine,audioengine
334,Audiolab,audiolab
84,Aune,aune
86,Aurender,aurender
10816,Austrian Audio,austrian-audio
89,Bang & Olufsen,bang-olufsen
10717,Barefoot,barefoot
304,Beats,beats
93,Belkin,belkin
94,Beyerdynamic,beyerdynamic
7387,Blackmagic,blackmagic
34,Bose,bose
100,Bowers & Wilkins,bowers-wilkins
348,Brise Audio,brise-audio
5138,Cabasse,cabasse
10537,Cambridge Audio,cambridge-audio
101,Campfire Audio,campfire-audio
11678,Cayin,cayin
109,Chord,chord
1353,Clearaudio,clearaudio
9512,Cleer,cleer
110,Comply™ Foam,comply-foam
302,Dali,dali
323,Dan Clark Audio,dan-clark-audio
6977,dCS,dcs
316,ddhifi,ddhifi
113,Denon,denon
1208,DEVIALET,devialet
1518,DUNU,dunu
115,Dynaudio,dynaudio
4094,Dynavector,dynavector
5603,Edifier,edifier
118,Eidolic,eidolic
103,Elecom,elecom
7066,Elgato,elgato
1532,Empire Ears,empire-ears
10081,Eversolo,eversolo
5892,Fender,fender
8085,Ferrum,ferrum
10372,FIFINE,fifine
121,FiiO,fiio
10581,Fluid,fluid
123,Focal,focal
10608,Focusrite,focusrite
11866,Fosi Audio,fosi-audio
7645,Fostex,fostex
126,Furutech,furutech
6881,Genelec,genelec
7253,Godox,godox
11271,Gold Note,gold-note
1354,Hana,hana
169,Hãng khác,hang-khac
127,Harman Kardon,harman-kardon
384,Headamp,headamp
129,HifiMan,hifiman
8784,Hollyland,hollyland
133,iFi,ifi
134,Jabra,jabra
1122,Jade Audio,jade-audio
135,Jamo,jamo
136,JBL,jbl
137,JDS Labs,jds-labs
4558,JLAB Audio,jlab-audio
11594,JVC,jvc
9128,KEF,kef
138,Klipsch,klipsch
142,Koss,koss
11226,Lemorele,lemorele
10404,Lewitt,lewitt
144,Linum,linum
11725,Luxsin,luxsin
8546,Maono,maono
145,Marshall,marshall
147,Master and Dynamic,master-and-dynamic
12480,Midiplus,midiplus
2715,Mighty,mighty
1307,Moon by Simaudio,moon-by-simaudio
2107,Music Hall,music-hall
7054,Nanoleaf,nanoleaf
7177,Neumann,neumann
150,Neutrik,neutrik
151,Noble,noble
315,Nobunaga Labs,nobunaga-labs
2588,Nordost,nordost
314,Norne,norne
7881,NuPrime,nuprime
8748,Obsbot,obsbot
8272,Oladance,oladance
11802,Onkyo,onkyo
1352,Ortofon,ortofon
155,Oyaide,oyaide
1613,Padmate,padmate
308,Paradigm,paradigm
319,Partron,partron
128,Pelican,pelican
157,Pendulumic,pendulumic
11843,Philips,philips
8804,Polaroid,polaroid
1323,Pro-Ject Audio,project-audio
11291,Raal 1995,raal-1995
158,Radius,radius
318,Radsone,radsone
1637,Rega,rega
162,RHA,rha
163,Riva Audio,riva-audio
7298,Rivacase,rivacase
164,Roon,roon
11994,ROSESELSA,roseselsa
168,Schiit Audio,schiit
321,Sennheiser,sennheiser
12344,SHANLING,shanling
38,Shure,shure
7030,Silicon Z,silicon-z
171,Skullcandy,skullcandy
11217,Snowsky,snowsky
310,Sommer Cable,sommer-cable
36,Sony,sony
172,Soul Electronics,soul-electronics
173,SpinFit,spinfit
174,Stax,stax
7365,Steinberg,steinberg
7555,sudio,sudio
1349,Sumiko,sumiko
6734,Synergistic Research,synergistic-research
11286,System Audio,system-audio
4715,T&A Audio,ta-audio
179,Teac,teac
5103,Topping,topping
8744,UGREEN,ugreen
10565,Ulanzi,ulanzi
180,Ultimate Ears,ultimate-ears
117,Ultrasone,ultrasone
4248,Under Armour,under-armour
181,Viablue,viablue
183,Vifa,vifa
2557,VPI,vpi-industries
120,Westone,westone
332,Wharfedale,wharfedale
184,Wywires,wywires
6979,Yamaha,yamaha
185,Yuin,yuin
