wp_id,product_name,term_id,brand_name,brand_slug
7880,Bose Noise-masking Sleepbuds,34,Bose,bose
7882,Bose QuietComfort 35 II,34,Bose,bose
7893,Bose Soundsport Free,34,Bose,bose
7923,Bose QuietControl 30 Wireless,34,Bose,bose
9332,Bose SoundTouch Wireless Link,34,Bose,bose
9403,Bose S1 Pro,34,Bose,bose
9413,Bose Soundwear Companion,34,Bose,bose
9417,Bose SoundLink Micro,34,Bose,bose
9464,Bose SoundLink Revolve+,34,Bose,bose
9477,Bose SoundLink Revolve,34,Bose,bose
11032,Bose Revolve Wireless Charging Dock,34,Bose,bose
19714,Bose Noise Cancelling Headphones 700,34,Bose,bose
23005,Bose Portable Home Speaker,34,Bose,bose
27732,Bose Sport Earbuds,34,Bose,bose
27744,Bose QuietComfort Earbuds,34,Bose,bose
27761,Bose Frames Soprano,34,Bose,bose
27771,Bose Frames Tenor,34,Bose,bose
27786,Bose Frames Tempo,34,Bose,bose
27986,Bose Sleepbuds II,34,Bose,bose
36702,Bose QuietComfort® 45,34,Bose,bose
52891,Đệm Tai Bose Headphone NC700,34,Bose,bose
66563,Bose QuietComfort Ultra,34,Bose,bose
66585,Bose Ultra Open Earbuds,34,Bose,bose
66899,Bose QuietComfort Ultra Earbuds,34,Bose,bose
67433,Bose SoundLink Plus,34,Bose,bose
67524,Bose QuietComfort Ultra Earbuds 2,34,Bose,bose
8512,Sony WH-1000XM3,36,Sony,sony
8523,Sony MDR-Z7M2,36,Sony,sony
8526,Sony IER-Z1R,36,Sony,sony
8528,Sony IER-M9,36,Sony,sony
8532,Sony IER-M7,36,Sony,sony
8536,Sony WH-CH500,36,Sony,sony
8542,Sony WH-CH400,36,Sony,sony
8552,Sony WI-SP500,36,Sony,sony
8560,Sony WI-SP600N,36,Sony,sony
8572,Sony MDR-1AM2,36,Sony,sony
8618,Sony MDR-XB55AP,36,Sony,sony
8637,Sony MDR-XB950B1,36,Sony,sony
8642,Sony MDR-XB950N1,36,Sony,sony
8856,Sony NW-A56,36,Sony,sony
8867,Sony NW-A55,36,Sony,sony
8868,Sony NW-WM1A,36,Sony,sony
8872,Sony NW-ZX300,36,Sony,sony
9289,Sony DMP-Z1,36,Sony,sony
9806,Sony SRS-XB01,36,Sony,sony
9814,Sony SRS-XB501G,36,Sony,sony
9819,Sony SRS-XB21,36,Sony,sony
9825,Sony SRS-XB31,36,Sony,sony
9831,Sony SRS-XB41,36,Sony,sony
9834,Sony MHC-V90W,36,Sony,sony
9839,Sony SRS-XB10,36,Sony,sony
11503,Sony SRS-XB22,36,Sony,sony
11506,Sony SRS-XB32,36,Sony,sony
11509,Sony SRS-XB12,36,Sony,sony
16292,Sony WH-XB700,36,Sony,sony
16446,Sony WI-C600N,36,Sony,sony
16728,Sony LSPX-S2 Glass Sound Speaker,36,Sony,sony
18185,Sony MDR-Z1R,36,Sony,sony
18257,Sony WF-SP700N,36,Sony,sony
18288,Sony MDR-EX155AP,36,Sony,sony
18312,Sony MDR-XB550AP,36,Sony,sony
18364,Sony NW-WM1Z,36,Sony,sony
18464,Sony WH-XB900N,36,Sony,sony
19352,Sony WI-C310,36,Sony,sony
19360,Sony WI-C200,36,Sony,sony
19614,Sony GTK-PG10,36,Sony,sony
19746,Sony WF-1000XM3,36,Sony,sony
20192,Bao da Sony WF-1000XM3,36,Sony,sony
20590,Sony Walkman NW-ZX507,36,Sony,sony
20610,Sony WI-1000XM2,36,Sony,sony
20667,Sony WF-H800,36,Sony,sony
20679,Sony WH-CH510,36,Sony,sony
20694,Sony WI-XB400,36,Sony,sony
20710,Sony WH-H810,36,Sony,sony
20720,Sony WH-H910N,36,Sony,sony
20730,Sony SA-Z1,36,Sony,sony
20739,Sony Walkman NW-A105,36,Sony,sony
21384,Sony XBA-N1AP,36,Sony,sony
23040,Sony Walkman NW-A100TPS - Limited Edtion,36,Sony,sony
24786,Sony WH-CH710N,36,Sony,sony
25026,Sony WF-XB700,36,Sony,sony
25837,Sony SRS-XB23,36,Sony,sony
25849,Sony SRS-XB33,36,Sony,sony
25855,Sony SRS-XB43,36,Sony,sony
26107,Sony WI-SP510,36,Sony,sony
26652,Sony WF-SP800N,36,Sony,sony
27013,Sony WH-1000XM4,36,Sony,sony
30146,Sony SRS-RA5000,36,Sony,sony
30153,Sony SRS-RA3000,36,Sony,sony
33322,Sony SRS-XG500,36,Sony,sony
33335,Sony SRS-XP500,36,Sony,sony
33351,Sony SRS-XP700,36,Sony,sony
34382,Sony WF-1000XM4,36,Sony,sony
36763,Sony LSPX-S3,36,Sony,sony
37666,Sony WF-C500,36,Sony,sony
37691,Sony WH-XB910N,36,Sony,sony
40410,Sony WF-L900,36,Sony,sony
40450,Sony WM1ZM2,36,Sony,sony
40467,Sony WM1AM2,36,Sony,sony
42233,Sony WH-1000XM5,36,Sony,sony
42462,Sony LinkBuds S,36,Sony,sony
43080,Sony SRS-XB13,36,Sony,sony
46772,Sony Walkman NW-A306,36,Sony,sony
46787,Sony Walkman NW-ZX707,36,Sony,sony
45369,Sony MDR-7506,36,Sony,sony
47412,Sony ZV-1,36,Sony,sony
47421,Sony ZV-E10,36,Sony,sony
47710,Sony WH-CH720N,36,Sony,sony
47716,Sony WH-CH520,36,Sony,sony
48046,Sony WH-CH520  Copy,36,Sony,sony
50903,Sony WF-1000XM5,36,Sony,sony
51282,Sony SRS-XE200,36,Sony,sony
52899,Đệm Tai Nghe Sony WH-1000XM5,36,Sony,sony
57784,Sony ZV-1 II,36,Sony,sony
8403,Shure KSE1200,38,Shure,shure
8408,Shure SE215 Wireless,38,Shure,shure
8417,Shure SE 112 Wireless,38,Shure,shure
8419,Shure SE215m+ SPE,38,Shure,shure
8422,Shure KSE 1500,38,Shure,shure
8430,Shure SE 846,38,Shure,shure
8448,Shure SE 215,38,Shure,shure
8454,Shure SE 535,38,Shure,shure
8461,Shure SE215 SE,38,Shure,shure
8463,Shure SE 535 LTD,38,Shure,shure
20294,Shure MV88+ Stereo USB,38,Shure,shure
23240,Shure AONIC 215,38,Shure,shure
27391,Shure Aonic 50,38,Shure,shure
28999,Shure AONIC 5,38,Shure,shure
29009,Shure AONIC 4,38,Shure,shure
29014,Shure AONIC 3,38,Shure,shure
31604,Shure MVL 3.5mm,38,Shure,shure
40049,Shure Aonic Free,38,Shure,shure
40059,Shure Aonic 40,38,Shure,shure
47365,Shure MV7,38,Shure,shure
47366,Shure MV7x,38,Shure,shure
47375,Shure MVI,38,Shure,shure
47377,Shure Super 55,38,Shure,shure
47380,Shure SM58,38,Shure,shure
47385,Shure SM7B,38,Shure,shure
47389,Shure SM57,38,Shure,shure
47394,Shure MV51,38,Shure,shure
27709,Shure SV200-Q-X,38,Shure,shure
52334,SHURE SM7DB,38,Shure,shure
54465,Shure MV7 Kit,38,Shure,shure
55799,SHURE MOVEMIC ONE,38,Shure,shure
55805,SHURE MOVEMIC TWO,38,Shure,shure
56013,Shure MV7+,38,Shure,shure
47761,Shure MV5,38,Shure,shure
30812,Shure MV88+,38,Shure,shure
21396,Shure MVX2U,38,Shure,shure
47891,Shure SV100-X,38,Shure,shure
42418,Shure PGA48,38,Shure,shure
28235,Shure PGA52,38,Shure,shure
57472,Shure SE215 Pro,38,Shure,shure
56812,Shure A13HDB,38,Shure,shure
59043,Shure MV6 USB Gaming Microphone,38,Shure,shure
59283,SHURE MV88+ VIDEO KIT,38,Shure,shure
60777,Shure MV7+ Podcast Kit,38,Shure,shure
63943,Shure MV7i,38,Shure,shure
65128,SHURE MoveMic 88+,38,Shure,shure
65158,SHURE MoveMic 88+ Receiver Kit,38,Shure,shure
7639,Audeze LCD-2 Closed Back,47,Audeze,audeze
7646,Audeze LCD-4z,47,Audeze,audeze
7648,Audeze Mobius Creators Edition,47,Audeze,audeze
7652,Audeze Mobius,47,Audeze,audeze
7656,Audeze LCD-2 Classic,47,Audeze,audeze
7658,Audeze LCD-MX4,47,Audeze,audeze
7660,Audeze LCD-i4,47,Audeze,audeze
7662,Audeze SINE DX,47,Audeze,audeze
7666,Audeze iSINE 20,47,Audeze,audeze
7672,Audeze iSINE 10 (Bản dây 3.5mm Single-ended),47,Audeze,audeze
7678,Audeze SINE,47,Audeze,audeze
7683,Audeze LCD-4,47,Audeze,audeze
7688,Audeze EL-8 Closed-Back,47,Audeze,audeze
7695,Audeze EL-8 Open-Back,47,Audeze,audeze
7703,Audeze LCD-X,47,Audeze,audeze
7713,Audeze LCD-XC,47,Audeze,audeze
8887,Audeze The King,47,Audeze,audeze
10205,Audeze Kit Accesories For iSine,47,Audeze,audeze
10207,Audeze Mobius Headphone Stand,47,Audeze,audeze
10209,Audeze Mobius Carry Case,47,Audeze,audeze
10211,Audeze Groovy Kit,47,Audeze,audeze
10215,Audeze EL-8 Travel Case,47,Audeze,audeze
10217,Audeze Leather Ear pads,47,Audeze,audeze
10219,Audeze Balanced Cable,47,Audeze,audeze
10221,Audeze Single Ended Cable,47,Audeze,audeze
16444,Audeze Gel-Filled Ear Pads for Mobius,47,Audeze,audeze
17181,Audeze CIPHER Bluetooth Module,47,Audeze,audeze
18716,Audeze iSINE 10 (Bản dây Cipher Lightning),47,Audeze,audeze
19830,Audeze LCD-3,47,Audeze,audeze
20291,Audeze LCD-i3,47,Audeze,audeze
20863,Audeze LCD-GX,47,Audeze,audeze
21211,Audeze LCD-1,47,Audeze,audeze
24072,Audeze LCD-4 Premium Braided Cable,47,Audeze,audeze
26804,Audeze Penrose,47,Audeze,audeze
31020,Audeze Euclid,47,Audeze,audeze
36250,Audeze CRBN,47,Audeze,audeze
36636,Audeze Mobius Earpads (Mobius/Penrose),47,Audeze,audeze
37300,Audeze LCD 5,47,Audeze,audeze
42863,Audeze MM-500,47,Audeze,audeze
46316,Audeze Maxwell (PlayStation/PC),47,Audeze,audeze
46853,Audeze Filter,47,Audeze,audeze
48838,Audeze MM-100,47,Audeze,audeze
51160,Audeze Maxwell (Xbox/PC),47,Audeze,audeze
56363,Earpad Audeze Maxwell,47,Audeze,audeze
59832,Audeze CRBN2,47,Audeze,audeze
65049,Audeze LCD-S20,47,Audeze,audeze
9366,Acoustic Energy AEGO BT2,50,Acoustic Energy,acoustic-energy
9373,Acoustic Energy AEGO 3,50,Acoustic Energy,acoustic-energy
16784,AKG N5005,55,AKG,akg
17051,AKG N05BC,55,AKG,akg
23220,AKG K3003,55,AKG,akg
37850,AKG N20U,55,AKG,akg
37857,AKG N200BT,55,AKG,akg
37864,AKG N20NC,55,AKG,akg
37901,AKG N25,55,AKG,akg
37911,AKG N30,55,AKG,akg
37919,AKG N60NC,55,AKG,akg
37931,AKG N90Q,55,AKG,akg
10134,ALO Audio SXC8,59,ALO Audio,alo-audio
10137,ALO Audio Reference 8 | MMCX-2.5/3.5/Lightning,59,ALO Audio,alo-audio
10143,ALO Audio Litz (MMCX-2.5mm/MMCX-3.5mm),59,ALO Audio,alo-audio
22848,ALO Audio Gold 16,59,ALO Audio,alo-audio
22854,ALO Audio Pure Silver Litz,59,ALO Audio,alo-audio
30305,ALO Audio SXC 24,59,ALO Audio,alo-audio
30307,ALO Audio Portable Optical,59,ALO Audio,alo-audio
30310,ALO Audio Reference 8 Mini to Mini,59,ALO Audio,alo-audio
31093,ALO Audio Pilot,59,ALO Audio,alo-audio
50734,ALO Pilot II,59,ALO Audio,alo-audio
10147,Analysis Plus Silver Oval Phono,61,Analysis Plus,analysis-plus
10149,Analysis Plus Solo Crystal Oval Phono,61,Analysis Plus,analysis-plus
10151,Analysis Plus Low Mass Oval Phono,61,Analysis Plus,analysis-plus
