wp_id,product_name,product_category
7639,Audeze LCD-2 Closed Back,Over-Ear
7646,Audeze LCD-4z,Over-Ear
7648,Audeze Mobius Creators Edition,Over-Ear
7652,Audeze Mobius,Over-Ear
7656,Audeze LCD-2 Classic,Over-Ear
7658,Audeze LCD-MX4,Over-Ear
7660,Audeze LCD-i4,In-Ear
7662,Audeze SINE DX,On-Ear
7666,Audeze iSINE 20,In-Ear
7672,Audeze iSINE 10 (Bản dây 3.5mm Single-ended),In-Ear
7678,Audeze SINE,In-Ear
7683,Audeze LCD-4,Over-Ear
7688,Audeze EL-8 Closed-Back,Over-Ear
7695,Audeze EL-8 Open-Back,Over-Ear
7703,Audeze LCD-X,Over-Ear
7713,Audeze LCD-XC,Over-Ear
7718,Bang &amp; Olufsen Beoplay E6,Không dây
7739,Bang &amp; Olufsen Beoplay H8i,Không dây
7746,Bang &amp; Olufsen Beoplay H9i,Không dây
7755,Bang &amp; Olufsen Beoplay E8,Không dây
7762,Bang &amp; Olufsen Beoplay Earset,Không dây
7772,Beyerdynamic Blue Byrd,In-Ear
7775,Beyerdynamic Blue Byrd ANC,Không dây
7778,Beyerdynamic Beat Byrd,In-Ear
7781,Beyerdynamic Soul Byrd,In-Ear
7784,Beyerdynamic Lagoon ANC,Không dây
7786,Beyerdynamic Aventho Wired,On-Ear
7788,Beyerdynamic DT 990 Edition,Over-Ear
7792,Beyerdynamic DT 240 Pro,On-Ear
7797,Beyerdynamic Aventho Wireless,Không dây
7802,Beyerdynamic Xelento Remote,In-Ear
7808,Beyerdynamic Amiron Home,Over-Ear
7819,Beyerdynamic DT1990 Pro,Over-Ear
7824,Beyerdynamic Byron Wired,In-Ear
7830,Beyerdynamic Byron BT,Không dây
7836,Beyerdynamic Byron BTA,Không dây
7843,Beyerdynamic Custom One Pro Plus,Over-Ear
7845,Beyerdynamic T1 (2nd Generation),Over-Ear
7853,Beyerdynamic DT1770 Pro,Over-Ear
7861,Beyerdynamic DT 770 Pro,Over-Ear
7866,Beyerdynamic DT 880 Edition,Over-Ear
7869,Beyerdynamic DT 990 Pro,Over-Ear
7880,Bose Noise-masking Sleepbuds,Không dây
7882,Bose QuietComfort 35 II,Không dây
7923,Bose QuietControl 30 Wireless,Không dây
7927,Campfire Solaris,In-Ear
7931,Campfire Equinox,In-Ear
7936,Campfire Andromeda S,In-Ear
7940,Campfire Atlas,In-Ear
7944,Campfire Comet,In-Ear
7948,Campfire Cascade,In-Ear
7955,Campfire Polaris,In-Ear
7979,Campfire Andromeda,In-Ear
7993,Campfire Orion CK,In-Ear
8002,Denon AH-D9200,Over-Ear
8010,Denon AH-D1200,Over-Ear
8016,Denon AH-D5200,Over-Ear
8018,Denon AH-D7200,Over-Ear
8025,Denon AH-C620R,In-Ear
8029,Denon AH-C720,In-Ear
8035,Denon AH-C820,In-Ear
8042,Denon AH-C160W,Không dây
8056,FiiO FH5,In-Ear
8061,FiiO FB1,Không dây
8067,FiiO EM3K,Earbud
8069,FiiO EM3S,Earbud
8070,FiiO F9 Pro,In-Ear
8072,FiiO FH1,In-Ear
8085,FiiO F3,In-Ear
8093,FiiO F1,In-Ear
8102,Focal Elegia,Over-Ear
8104,Focal Listen Wireless - CHIC Collection,Không dây
8111,Focal Clear,Over-Ear
8116,Focal Utopia,Over-Ear
8124,Focal Elear,Over-Ear
8129,Focal Listen,Over-Ear
8138,Focal Sphear S,In-Ear
8145,Focal Spark Wireless,Không dây
8150,Focal Spark,Over-Ear
8155,HifiMan Ananda (Stealth Magnets Version),Over-Ear
8160,HifiMan Sundara,Over-Ear
8166,Hifiman Susvara,Over-Ear
8168,Hifiman RE800,Over-Ear
8174,HifiMan HE-1000 V2,Over-Ear
8176,Klipsch R5 NECKBAND,Không dây
8185,Klipsch Heritage HP-3,Over-Ear
8208,Klipsch R6,In-Ear
8210,Klipsch R6 in-ear Bluetooth,Không dây
8215,Klipsch R6i Onear,On-Ear
8218,Klipsch R6i in-ear,In-Ear
8221,Koss Porta Pro,On-Ear
8242,Master&amp;Dynamic MW50,Không dây
8245,Master &amp; Dynamic MH30,On-Ear
8263,Master &amp; Dynamic MW60,Không dây
8272,Master &amp; Dynamic MH40,On-Ear
8287,Noble Bell,In-Ear
8289,Noble EDC Velvet,In-Ear
8294,Noble Sage,In-Ear
8297,Noble Kaiser Encore,In-Ear
8299,Noble Katana,In-Ear
8305,Noble Django,In-Ear
8307,Noble Dulce Bass,In-Ear
8309,Noble Savanna,In-Ear
8311,Radius HP-NHL11,In-Ear
8314,Radius HP-NHA11,In-Ear
8317,Radius HP-NHR11,In-Ear
8319,Radius HP-NEF31,In-Ear
8321,Radius HP-NEF11,In-Ear
8323,RHA TrueConnect,Không dây
8325,RHA MA390 Wireless,Không dây
8327,RHA CL2,Không dây
8383,RHA MA650,In-Ear
8385,RHA S500 Universal,In-Ear
8389,RHA MA390 Universal,In-Ear
8393,RHA MA750 Wireless,Không dây
8395,RHA MA650 Wireless,Không dây
8397,RHA T20,In-Ear
8399,RHA MA750,In-Ear
8403,Shure KSE1200,In-Ear
8408,Shure SE215 Wireless,Không dây
8417,Shure SE 112 Wireless,Không dây
8419,Shure SE215m+ SPE,In-Ear
8422,Shure KSE 1500,In-Ear
8430,Shure SE 846,In-Ear
8448,Shure SE 215,In-Ear
8454,Shure SE 535,In-Ear
8461,Shure SE215 SE,In-Ear
8463,Shure SE 535 LTD,In-Ear
8465,Skullcandy Venue,Không dây
8474,Skullcandy HESH 3 WIRELESS,Không dây
8495,Skullcandy INKD 2,In-Ear
8502,Skullcandy Smokin Buds 2,Không dây
8507,Skullcandy Method,Không dây
8512,Sony WH-1000XM3,Không dây
8523,Sony MDR-Z7M2,Over-Ear
8526,Sony IER-Z1R,In-Ear
8528,Sony IER-M9,In-Ear
8532,Sony IER-M7,In-Ear
8536,Sony WH-CH500,Không dây
8542,Sony WH-CH400,Không dây
8552,Sony WI-SP500,Không dây
8560,Sony WI-SP600N,Không dây
8572,Sony MDR-1AM2,Over-Ear
8618,Sony MDR-XB55AP,In-Ear
8637,Sony MDR-XB950B1,Không dây
8642,Sony MDR-XB950N1,Không dây
8664,Westone Wx,Không dây
8667,Westone UM1,In-Ear
8671,Westone W80,In-Ear
8675,Westone ES60,In-Ear
8684,Westone AM Pro 30,In-Ear
8689,Westone AM Pro 20,In-Ear
8693,Westone AM Pro 10,In-Ear
8697,Westone W60,In-Ear
8708,Westone W40,In-Ear
8713,Yuin PK3,Earbud
8717,Yuin PK2,Earbud
8723,Yuin PK1,Earbud
8729,Partron PBH-400,Không dây
8743,Partron PBH-200,Không dây
8748,Superlux HD 681 EVO,Over-Ear
8753,Superlux HD 681B,Over-Ear
8763,Astel&amp;Kern SP1000M,Máy nghe nhạc
8769,Astell&Kern SR15,Máy nghe nhạc
8773,Astell&Kern SE100,Máy nghe nhạc
8777,Astell&Kern AK70 MK II,Máy nghe nhạc
8779,Astell&Kern SP1000,Máy nghe nhạc
8786,Astell&Kern KANN,Máy nghe nhạc
8820,FiiO M9,Máy nghe nhạc
8822,FiiO M3K,Máy nghe nhạc
8827,FiiO M7,Máy nghe nhạc
8829,FiiO X7 Gen 2,Máy nghe nhạc
8835,FiiO X5 Gen 3,Máy nghe nhạc
8840,Onkyo DP-X1A,Máy nghe nhạc
8845,Onkyo DP-S1,Máy nghe nhạc
8849,Onkyo DP-X1,Máy nghe nhạc
8851,Sansa Clip Sport 8GB,Máy nghe nhạc
8856,Sony NW-A56,Máy nghe nhạc
8867,Sony NW-A55,Máy nghe nhạc
8868,Sony NW-WM1A,Máy nghe nhạc
8872,Sony NW-ZX300,Máy nghe nhạc
8887,Audeze The King,Desktop DAC/AMP
8890,Aune T1 SE,Desktop DAC/AMP
8894,Aune X1S,Desktop DAC/AMP
8896,Aurender A10,Desktop DAC/AMP
8906,Aurender W20,Desktop DAC/AMP
8910,Aurender N100H / N100C,Desktop DAC/AMP
8915,Aurender N10,Desktop DAC/AMP
8920,Chord Hugo TT 2,Desktop DAC/AMP
8924,Chord Etude,Desktop DAC/AMP
8931,Chord Hugo M Scaler,Desktop DAC/AMP
8937,Chord Qutest,Desktop DAC/AMP
8942,Chord BLU MKII,Desktop DAC/AMP
8949,Chord Poly,Portable DAC/AMP
8954,Chord Hugo 2,Portable DAC/AMP
8960,Chord DAVE,Desktop DAC/AMP
8967,Chord Hugo TT,Desktop DAC/AMP
8973,Chord Mojo,Portable DAC/AMP
8982,FiiO BTR1K,Portable DAC/AMP
8986,FiiO K3,Portable DAC/AMP
8988,FiiO BTR3,Portable DAC/AMP
8990,FiiO uBTR,Portable DAC/AMP
8994,FiiO Q5,Portable DAC/AMP
8999,FiiO Q1 Gen 2,Portable DAC/AMP
9005,FiiO A5,Portable DAC/AMP
9007,FiiO i1,Portable DAC/AMP
9013,FiiO D03K Taishan,Portable DAC/AMP
9021,FiiO K1,Portable DAC/AMP
9029,FiiO A3 (E11K),Portable DAC/AMP
9034,FiiO E10K,Portable DAC/AMP
9041,Furutech Stratos,Desktop DAC/AMP
9045,iFi xCAN,Portable DAC/AMP
9052,iFi iESL,Desktop DAC/AMP
9054,iFi iPurifier 3 Type B,Phụ kiện khác
9057,iFi DC iPurifier 2,Phụ kiện khác
9060,iFi xDSD,Portable DAC/AMP
